ncodpers,added_products
1375586,ind_ctop_fin_ult1
1050611,ind_ctop_fin_ult1
1050612,ind_ctop_fin_ult1
1050613,ind_cco_fin_ult1
1050614,ind_ctop_fin_ult1
1050615,ind_ctop_fin_ult1
1050616,ind_ctop_fin_ult1
1050617,ind_ctop_fin_ult1
1050619,ind_ctop_fin_ult1
1050620,ind_ctop_fin_ult1
1050621,ind_ctop_fin_ult1
1050622,ind_ctop_fin_ult1
1050623,ind_ctop_fin_ult1
1050624,ind_ctop_fin_ult1
1050625,ind_ctop_fin_ult1
1050626,ind_ctop_fin_ult1
1050610,ind_ctop_fin_ult1
1050627,ind_ctop_fin_ult1
1050609,ind_ctop_fin_ult1
1050605,ind_ctop_fin_ult1
1050582,ind_ctop_fin_ult1
1050586,ind_ctop_fin_ult1
1050588,ind_ctop_fin_ult1
1050589,ind_ctop_fin_ult1
1050591,ind_ctop_fin_ult1
1050592,ind_ctop_fin_ult1
1050595,ind_ctop_fin_ult1
1050596,ind_ctop_fin_ult1
1050597,ind_ctop_fin_ult1
1050598,ind_ctop_fin_ult1
1050599,ind_ctop_fin_ult1
1050601,ind_ctop_fin_ult1
1050602,ind_ctop_fin_ult1
1050603,ind_ctop_fin_ult1
1050604,ind_ctop_fin_ult1
1050607,ind_ctop_fin_ult1
1050580,ind_ctop_fin_ult1
1050628,ind_ctop_fin_ult1
1050630,ind_ctop_fin_ult1
1050669,ind_ctop_fin_ult1
1050670,ind_ctop_fin_ult1
1050676,ind_recibo_ult1
1050679,ind_ctop_fin_ult1
1050680,ind_cco_fin_ult1
1050686,ind_dela_fin_ult1
1050688,ind_recibo_ult1
1050693,ind_cco_fin_ult1
1050694,ind_dela_fin_ult1
1050697,ind_ctop_fin_ult1
1050703,ind_ctop_fin_ult1
1050704,ind_ctop_fin_ult1
1050706,ind_ctop_fin_ult1
1050707,ind_ctop_fin_ult1
1050710,ind_ctop_fin_ult1
1050663,ind_ctop_fin_ult1
1050629,ind_ctop_fin_ult1
1050662,ind_recibo_ult1
1050660,ind_tjcr_fin_ult1
1050632,ind_ctop_fin_ult1
1050633,ind_ctop_fin_ult1
1050634,ind_ctop_fin_ult1
1050635,ind_ctop_fin_ult1
1050636,ind_ctop_fin_ult1
1050639,ind_ctop_fin_ult1
1050641,ind_ctop_fin_ult1
1050642,ind_cco_fin_ult1
1050647,ind_ctop_fin_ult1
1050648,ind_ctop_fin_ult1
1050651,ind_tjcr_fin_ult1
1050652,ind_tjcr_fin_ult1
1050655,ind_ctop_fin_ult1
1050658,ind_cco_fin_ult1
1050659,ind_ctpp_fin_ult1
1050661,ind_recibo_ult1
1050711,ind_ctop_fin_ult1
1050579,ind_ctop_fin_ult1
1050577,ind_ctop_fin_ult1
1050507,ind_ctop_fin_ult1
1050508,ind_ctop_fin_ult1
1050509,ind_ctop_fin_ult1
1050511,ind_ctop_fin_ult1
1050512,ind_ctop_fin_ult1
1050513,ind_ctop_fin_ult1
1050514,ind_ctop_fin_ult1
1050515,ind_ctop_fin_ult1
1050516,ind_ctop_fin_ult1
1050517,ind_ctop_fin_ult1
1050520,ind_ctop_fin_ult1
1050521,ind_ctop_fin_ult1
1050522,ind_ctop_fin_ult1
1050523,ind_ctop_fin_ult1
1050524,ind_ctop_fin_ult1
1050505,ind_ctop_fin_ult1
1050525,ind_ctop_fin_ult1
1050504,ind_ctop_fin_ult1
1050502,ind_ctop_fin_ult1
1050487,ind_ctop_fin_ult1
1050488,ind_ctop_fin_ult1
1050489,ind_ctop_fin_ult1
1050490,ind_ctop_fin_ult1
1050491,ind_ctop_fin_ult1
1050492,ind_ctop_fin_ult1
1050493,ind_ctop_fin_ult1
1050494,ind_ctop_fin_ult1
1050495,ind_ctop_fin_ult1
1050496,ind_ctop_fin_ult1
1050497,ind_ctop_fin_ult1
1050498,ind_ctop_fin_ult1
1050499,ind_ctop_fin_ult1
1050500,ind_ctop_fin_ult1
1050501,ind_ctop_fin_ult1
1050503,ind_ctop_fin_ult1
1050578,ind_ctop_fin_ult1
1050526,ind_ctop_fin_ult1
1050529,ind_ctop_fin_ult1
1050553,ind_cco_fin_ult1
1050556,ind_ctop_fin_ult1
1050557,ind_ctop_fin_ult1
1050560,ind_ctop_fin_ult1
1050561,ind_ctop_fin_ult1
1050562,ind_ctop_fin_ult1
1050565,ind_ecue_fin_ult1
1050567,ind_ctop_fin_ult1
1050568,ind_ctop_fin_ult1
1050569,ind_ctop_fin_ult1
1050570,ind_ctop_fin_ult1
1050571,ind_ctop_fin_ult1
1050573,ind_ctop_fin_ult1
1050574,ind_ctop_fin_ult1
1050575,ind_ctop_fin_ult1
1050552,ind_ctop_fin_ult1
1050527,ind_ctop_fin_ult1
1050551,ind_ctop_fin_ult1
1050549,ind_ctop_fin_ult1
1050530,ind_ctop_fin_ult1
1050531,ind_ctop_fin_ult1
1050532,ind_ctop_fin_ult1
1050533,ind_ctop_fin_ult1
1050534,ind_ctop_fin_ult1
